Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SUMO4	4.928695197	8.174670357	2.327895173	3.511614463	0.000445394	0.072939278
ENPP7P13	8.37416943	8.008727329	2.078736426	3.852690139	0.000116827	0.029032899
CLEC2B	4.700264723	7.636967101	2.131555001	3.582814939	0.000339911	0.061850145
ALOX15B	10.64304162	7.565320587	2.176113702	3.476528171	0.000507951	0.077480813
CLDND2	7.644682811	7.144653775	2.071844957	3.448450016	0.000563814	0.082573512
NKX3-1	20.64570862	6.471523533	1.277876181	5.064280585	4.10E-07	0.000381676
LYRM4-AS1	14.93769178	4.751502945	1.402557172	3.38774279	0.000704703	0.096250558
TGFB3	12.96569474	4.734742863	1.312402249	3.607691824	0.000308933	0.058948592
RPGRIP1L	25.26639111	4.704168846	1.271907477	3.698514973	0.000216865	0.046507121
HERC5	20.50749152	4.094267121	0.918016475	4.459905929	8.20E-06	0.00410297
LINC00506	38.60912857	3.9814333	0.753611681	5.283136395	1.27E-07	0.000174039
LOC105372751	7.456055988	3.870449941	1.114864273	3.471678155	0.000517216	0.077642744
TREX1	15.2220074	3.74128802	0.872407702	4.288462849	1.80E-05	0.007488834
MT1G	538.8673659	3.325695578	0.657094796	5.061211255	4.17E-07	0.000381676
TSIX	27.14868485	3.148607925	0.684031569	4.603015515	4.16E-06	0.002344169
MT-TL2	17.46012104	3.114651632	0.805735522	3.865600493	0.000110816	0.028517759
ZNF839	33.21883492	3.041521534	0.863847092	3.520902671	0.00043008	0.071735825
MT2A	139.5034672	2.968358813	0.56308776	5.271574029	1.35E-07	0.000174039
TIGD1	22.77276552	2.907681067	0.75570652	3.847632633	0.000119265	0.029032899
OASL	29.86646426	2.876696406	0.75432565	3.813600142	0.000136957	0.032462411
RN7SK	57.93287035	2.819843266	0.745189479	3.784062103	0.000154289	0.035632915
MT1F	68.63300506	2.779554754	0.451040833	6.162534638	7.16E-10	2.15E-06
IFI6	325.3190466	2.764516426	0.745595328	3.707797408	0.00020907	0.045375705
MT1X	91.96686533	2.679375607	0.547708264	4.891975863	9.98E-07	0.000710826
ISG15	151.8264068	2.539518523	0.504974887	5.028999634	4.93E-07	0.000403714
NFKB1	249.9436881	2.492899705	0.562042686	4.435427708	9.19E-06	0.004473785
TAF9B	25.83798809	2.461170919	0.727229112	3.384312976	0.000713566	0.096514635
MT1E	56.45397939	2.377266753	0.472087613	5.035647388	4.76E-07	0.000403714
IFIT3	48.79759462	2.364384478	0.610485679	3.872956498	0.000107523	0.028484114
IFI27	328.9877751	2.337849189	0.454922242	5.139008322	2.76E-07	0.000310958
ADH1C	69.44102579	2.313116897	0.591063607	3.913482186	9.10E-05	0.024830556
LOC100131257	101.6280885	2.180387794	0.388656604	5.610062386	2.02E-08	4.55E-05
LOC101928103	59.19826597	2.063903272	0.475957805	4.336315638	1.45E-05	0.006236139
LINC00504	63.10208834	2.055560632	0.513397599	4.003837642	6.23E-05	0.018711486
MAPKAPK5-AS1	86.56576425	1.953534028	0.565538537	3.454289847	0.000551744	0.082106197
CRYZL1	93.54277356	1.936988041	0.452062172	4.284782404	1.83E-05	0.007488834
EPSTI1	40.47206797	1.931456541	0.547625411	3.526966613	0.00042035	0.071735825
TSPAN17	55.65360747	1.905212099	0.544708022	3.497675861	0.000469331	0.074818864
URB1	53.78480194	1.881020411	0.52202063	3.603344967	0.000314148	0.058948592
C7orf50	139.1461674	1.854944596	0.48082016	3.857876082	0.000114377	0.029019439
MX1	240.3116175	1.853255419	0.493533866	3.75507244	0.000173291	0.038539141
BRI3BP	67.54927245	1.767567522	0.50647058	3.489970777	0.000483073	0.075670293
CA1	434.9768776	1.709274088	0.414625421	4.122453664	3.75E-05	0.012504986
LOC100419583	121.0591417	1.707810816	0.378779007	4.508726152	6.52E-06	0.003356679
ID3	121.8880142	1.683198761	0.473099854	3.55780867	0.000373962	0.06604454
KRT17	127.1977354	1.644475217	0.469372065	3.503564317	0.000459076	0.07383742
KCNQ1OT1	203.4129798	1.624734109	0.328512603	4.945728394	7.59E-07	0.00056939
NDUFAF3	153.3298254	1.60596282	0.441366306	3.638616717	0.000274106	0.054863918
CTSL	157.6443405	1.59017739	0.422061364	3.767645009	0.000164795	0.03757739
HAAO	180.4003408	1.533186945	0.425275986	3.605157578	0.000311964	0.058948592
IFITM3	593.3334489	1.518202452	0.361220894	4.202975179	2.63E-05	0.009304743
LOC729348	96.05713664	1.514194945	0.317760785	4.765203935	1.89E-06	0.001171921
KRT5	204.2043032	1.326120674	0.326390911	4.062982855	4.84E-05	0.014792727
DNAJB11	311.502392	1.271602046	0.373771373	3.402085176	0.000668738	0.093855961
TKFC	365.1430486	1.207870812	0.265026121	4.557553822	5.18E-06	0.002825077
PYGB	169.8169785	1.177805792	0.346486521	3.399283147	0.000675627	0.093855961
CRIP1	319.2030481	1.144344701	0.268696372	4.258876645	2.05E-05	0.007874678
BCL2L14	192.4253323	1.140228216	0.337082827	3.382635146	0.000717939	0.096514635
HLA-B	1173.511284	1.025412535	0.279729634	3.665727222	0.000246637	0.052269573
SLC38A2	297.1867919	-1.005024312	0.292004419	-3.441811992	0.000577832	0.083944034
FAM60A	958.4611037	-1.00906825	0.236432665	-4.26788849	1.97E-05	0.007754948
FHL2	1528.359599	-1.015612361	0.193437919	-5.250327171	1.52E-07	0.000182337
MYO5C	352.1279398	-1.031505656	0.24307913	-4.243497406	2.20E-05	0.008258778
INSIG1	1503.211505	-1.080215337	0.256759737	-4.207105643	2.59E-05	0.009304743
PSAT1	722.3705336	-1.085869875	0.276980409	-3.920385124	8.84E-05	0.024501138
CEACAM5	3543.23158	-1.096965924	0.198277742	-5.532471328	3.16E-08	6.32E-05
EHBP1	214.5724053	-1.116443478	0.329575961	-3.387514898	0.000705289	0.096250558
KLK7	3146.62459	-1.174366117	0.232181563	-5.057964557	4.24E-07	0.000381676
ST3GAL1	1011.648578	-1.191443268	0.248505599	-4.794432299	1.63E-06	0.00108842
SERINC5	464.9197596	-1.379159149	0.337110455	-4.091119484	4.29E-05	0.013809528
ITGA2	136.6790915	-1.399996998	0.409065122	-3.42243062	0.000620639	0.089441577
P4HA1	421.0452188	-1.423192561	0.333526668	-4.267102742	1.98E-05	0.007754948
MRPS6	406.0386615	-1.431419926	0.376479177	-3.802122436	0.000143462	0.033562608
SLC39A4	315.2543582	-1.447067577	0.296130074	-4.886594454	1.03E-06	0.000710826
LDHA	4125.153112	-1.453294877	0.223268646	-6.509175843	7.56E-11	3.40E-07
SLC5A3	241.266533	-1.462905018	0.309675649	-4.723991122	2.31E-06	0.001388642
TNFSF15	198.8133535	-1.476412269	0.324998578	-4.542826862	5.55E-06	0.002940777
OLMALINC	255.5037543	-1.520478149	0.350092156	-4.343079739	1.40E-05	0.006236139
FABP6	1371.52467	-1.533432101	0.30861357	-4.968777298	6.74E-07	0.000527704
SLC29A1	171.1681648	-1.59485448	0.405392627	-3.93409839	8.35E-05	0.023878435
NYNRIN	87.96713808	-1.616783826	0.417892382	-3.868899978	0.000109327	0.028517759
TAF1D	114.1975546	-1.631144635	0.434038943	-3.758060562	0.000171235	0.038539141
GSE1	124.7486057	-1.639486088	0.421110347	-3.893245797	9.89E-05	0.026593999
TGFBR3	167.9571499	-1.653550616	0.460648381	-3.589615599	0.000331166	0.061387049
TMCC1	161.3387543	-1.716030851	0.358828771	-4.782311207	1.73E-06	0.001114881
